address,area_ft,bath_full,bath_half,beds,built_year,city,days_on_market,lot_ft,price_ft,property_type,school1,school2,school3,sold_date,sold_price,state,zip_code
"5115 Sunny Creek Dr,","2,009",2,1,3,1986,San Jose,42,"7,150",655,Single Family Home,6,9,10,20-Jul-18,1315000,CA,95135
"5112 Poston Dr,","1,065",1,,3,1971,San Jose,132,"5,992",676,Single Family Home,6,4,8,17-Sep-18,720000,CA,95136
"511 Mariani Ln,","1,620",3,,2,2003,San Jose,,700,633,Condo/Townhome/Row Home/Co-Op,3,3,3,25-Oct-18,1025000,CA,95112
"511 Los Pinos Way,","1,374",2,,3,1969,San Jose,55,"5,500",746,Single Family Home,6,7,8,6-Sep-18,1025000,CA,95123
"5109 Yucatan Way,","2,331",2,1,4,1968,San Jose,37,"6,180",665,Single Family Home,9,8,8,22-Jun-18,1551000,CA,95118
"510 Saddle Brook Dr,","1,499",2,,3,2015,San Jose,44,,207,Mfd/Mobile Home,6,4,9,15-Jun-18,310000,CA,95136
"510 Saddle Brook Dr Spc 84,","1,060",2,,2,1976,San Jose,44,,150,Mfd/Mobile Home,6,4,8,10-Aug-18,159000,CA,95136
"5075 Carm Ave,","1,280",2,,3,1957,San Jose,41,"6,000","1,035",Single Family Home,10,8,9,28-Aug-18,1325000,CA,95124
"5067 Rebel Ct,","2,862",3,,5,1963,San Jose,,"9,350",583,Single Family Home,8,8,8,23-Oct-18,1669212,CA,95118
"5063 Brewster Ave,","1,200",2,,3,1955,San Jose,,"6,832","1,466",Single Family Home,9,8,9,24-Oct-18,1759000,CA,95124
"5062 Edenvale Ave,","2,726",3,,4,2017,San Jose,13,"2,048",439,Single Family Home,6,4,8,2-Aug-18,1197900,CA,95136
"505 Mill River Ln,","1,887",2,1,3,1991,San Jose,40,"1,620",709,Condo/Townhome/Row Home/Co-Op,5,6,8,14-Aug-18,1338000,CA,95134
"5047 Wayland Ave,","1,408",2,,4,1965,San Jose,56,"6,000",824,Single Family Home,4,5,8,17-Jul-18,1160000,CA,95118
"5035 Bel Estos Dr,","1,902",3,,4,1957,San Jose,31,"6,678",862,Single Family Home,9,8,9,21-Sep-18,1640000,CA,95124
"502 Los Pinos Way,","1,475",2,,4,1969,San Jose,20,"5,500",678,Single Family Home,6,7,8,5-Sep-18,1000000,CA,95123
"502 Cheyenne Ln,","1,345",2,,4,1965,San Jose,60,"6,100",723,Single Family Home,6,8,2,29-Aug-18,972000,CA,95123
"5017 Cribari Vale,","1,348",2,,2,1968,San Jose,82,"1,872",401,Condo/Townhome/Row Home/Co-Op,6,9,10,8-Aug-18,540000,CA,95135
"5000 Edenview Dr,","1,704",2,1,3,1965,San Jose,55,"5,200",449,Single Family Home,2,4,8,13-Sep-18,765000,CA,95111
"500 Golfview Dr,","1,888",2,1,2,1972,San Jose,33,"1,950",439,Condo/Townhome/Row Home/Co-Op,5,4,NR,14-Aug-18,828450,CA,95127
"500 Fuller Ave,","1,639",2,,3,1945,San Jose,,"6,345",305,Single Family Home,7,7,7,31-Aug-18,500000,CA,95125
"4979 Brewster Ave,","1,200",2,,3,1955,San Jose,38,"6,832","1,125",Single Family Home,9,8,9,21-Sep-18,1350000,CA,95124
"4974 Rue Le Mans,",988,1,1,2,1985,San Jose,33,435,688,Condo/Townhome/Row Home/Co-Op,6,4,9,18-Jun-18,680000,CA,95136
"4971 Moorpark Ave,","1,653",2,,4,1964,San Jose,66,"6,000","1,028",Single Family Home,6,7,10,13-Aug-18,1700000,CA,95129
"4960 Minas Dr,","2,354",2,1,4,1967,San Jose,63,"6,000",489,Single Family Home,6,5,NR,7-Aug-18,1150000,CA,95136
"495 N San Pedro St,","1,563",1,,2,1920,San Jose,22,"4,320",224,Single Family Home,3,3,7,29-Oct-18,350000,CA,95110
